"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",1.1302897659374,23.8907604015959,27.3153862909764,0.874626488789146,1,1,158,NA,NA,NA,NA,57,NA,NA,NA,NA
"2","Albania",43.8145794458615,3.06174196880293,2.47016381178778,1.23948944365232,1,1,237,NA,NA,NA,NA,70,NA,NA,NA,NA
"3","Algeria",19.1867279662947,20.1802248587758,8.66257204794113,2.32958811160158,2,2,140,209,NA,NA,NA,58,164,NA,NA,NA
"4","Andorra",5.179264169762,1.86249711956856,1.12904048526563,1.64962828514548,2,2,91,156,NA,NA,NA,64,142,NA,NA,NA
"5","Angola",30.4159736599211,2.08859297545903,1.45226152768185,1.43816587828565,0,1,NA,NA,NA,NA,NA,83,NA,NA,NA,NA
"6","Argentina",43.6149737645027,209.318861484167,0,-Inf,0,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA
"7","Armenia",9.71167407938766,15.5033457584607,13.2119613655581,1.1734325683752,1,1,180,NA,NA,NA,NA,62,NA,NA,NA,NA
"8","Aruba",9.84762233247817,6.26070265481015,0.876974469565887,7.13897937976378,1,1,229,NA,NA,NA,NA,74,NA,NA,NA,NA
"9","Australia",5.87515358005633,23.6792097041176,19.1374658380935,1.23732211487393,2,2,88,216,NA,NA,NA,26,162,NA,NA,NA
"10","Austria",6.24385618524873,43.1834019117577,32.0468515309835,1.34750840874359,1,1,88,NA,NA,NA,NA,58,NA,NA,NA,NA
"11","Azerbaijan",10.5802356657002,14.2576462247567,18.6796729503036,0.763270655898982,1,1,187,NA,NA,NA,NA,61,NA,NA,NA,NA
"12","Bahamas",25.0330281282915,2.4365633835074,0.660011919562699,3.69169603046227,1,1,234,NA,NA,NA,NA,77,NA,NA,NA,NA
"13","Bahrain",18.6534050238009,18.4932802275368,10.6863429507799,1.73055275436272,1,1,181,NA,NA,NA,NA,56,NA,NA,NA,NA
"14","Bangladesh",26.8582672068712,85.4884500491207,50.9733304812848,1.67712113848453,1,1,180,NA,NA,NA,NA,70,NA,NA,NA,NA
"15","Belarus",5.33968565774509,32.2864627278525,25.9641744403198,1.24350045490816,1,1,139,NA,NA,NA,NA,60,NA,NA,NA,NA
"16","Belgium",5.65901447672947,70.6331394561134,54.4113098382333,1.29813341502177,2,2,99,221,NA,NA,NA,36,181,NA,NA,NA
"17","Belize",16.5226702429704,2.6413527421626,0.179588048890686,14.7078425233651,0,1,NA,NA,NA,NA,NA,85,NA,NA,NA,NA
"18","Benin",1.81256828480025,2.71085442997889,3.45726276664287,0.784104250372392,3,3,131,176,200,NA,NA,78,144,190,NA,NA
"19","Bolivia",33.3060592150464,29.9716056580446,33.8336646256439,0.885851591592828,1,1,203,NA,NA,NA,NA,73,NA,NA,NA,NA
"20","Bosnia_and_Herzegovina",39.7432533295834,7.17527691917633,5.44971763137346,1.31663278806759,1,1,218,NA,NA,NA,NA,67,NA,NA,NA,NA
"21","Botswana",13.3873358704806,2.00296742655351,1.70222419888441,1.17667662571487,2,2,206,227,NA,NA,NA,93,216,NA,NA,NA
"22","Brazil",41.9756421768325,877.395963360774,503.646963545849,1.7420852836749,1,1,213,NA,NA,NA,NA,58,NA,NA,NA,NA
"23","Bulgaria",17.9854889444482,6.76743851600529,6.09207052847654,1.11086017214867,2,2,119,206,NA,NA,NA,69,151,NA,NA,NA
"24","Cameroon",3.72150493815573,11.8112950540182,14.1050313596197,0.837381694012531,2,2,161,191,NA,NA,NA,68,183,NA,NA,NA
"25","Canada",5.36955649349159,74.3584719889747,41.2973059920698,1.80056471488124,2,2,119,207,NA,NA,NA,27,188,NA,NA,NA
"26","Cape_Verde",38.3997645175446,1.31480973176136,1.13275930970017,1.16071412567721,1,1,131,NA,NA,NA,NA,82,NA,NA,NA,NA
"27","Central_African_Republic",0.599940806921293,3.83175973196845,3.79535329291755,1.0095923715768,1,1,176,NA,NA,NA,NA,77,NA,NA,NA,NA
"28","Chad",1.98982507908485,1.84954157036718,1.13031702085515,1.63630338767074,1,1,136,NA,NA,NA,NA,81,NA,NA,NA,NA
"29","Chile",5.66266942699525,316.480203046535,412.693242552044,0.766865483644608,1,1,170,NA,NA,NA,NA,65,NA,NA,NA,NA
"30","China",0.115198647314566,211.147103029371,283.981540070648,0.743524043770037,1,1,43,NA,NA,NA,NA,1,NA,NA,NA,NA
"31","Colombia",39.8876092715558,237.791056193734,126.679192176271,1.87711219268635,1,1,229,NA,NA,NA,NA,68,NA,NA,NA,NA
"32","Congo",3.61003953294328,3.36776456426221,2.9508678730173,1.14127934871534,1,1,199,NA,NA,NA,NA,77,NA,NA,NA,NA
"33","Costa_Rica",46.1191815117263,18.1230482784549,4.3736024396203,4.14373471952522,0,1,NA,NA,NA,NA,NA,68,NA,NA,NA,NA
"34","Cote_dIvoire",6.06024119059081,11.7633713618151,10.3422446558554,1.13740989052654,1,1,174,NA,NA,NA,NA,73,NA,NA,NA,NA
"35","Croatia",23.6523985344302,11.971964419929,2.68789004889724,4.4540380008627,1,1,93,NA,NA,NA,NA,58,NA,NA,NA,NA
"36","Cuba",16.0008875309413,2.8239199107606,1.95499392535062,1.44446480070476,3,3,109,156,228,NA,NA,73,145,181,NA,NA
"37","Cyprus",4.69286653201323,1.65992760584482,1.49320848876132,1.11165160012036,2,2,97,221,NA,NA,NA,71,177,NA,NA,NA
"38","Czechia",24.0776392052652,13.8441436433265,10.3468166226631,1.33800995496558,1,1,93,NA,NA,NA,NA,63,NA,NA,NA,NA
"39","Democratic_Republic_of_the_Congo",7.23477463203076,4.11577480776782,4.71287123635003,0.873305168200471,1,1,176,NA,NA,NA,NA,72,NA,NA,NA,NA
"40","Denmark",4.29086893272051,14.6706858730134,9.43950559708514,1.55417947710562,2,2,98,227,NA,NA,NA,59,191,NA,NA,NA
"41","Djibouti",0.074359364188603,8.98528190964478,9.8559556607641,0.911660139200361,2,2,109,152,NA,NA,NA,80,127,NA,NA,NA
"42","Dominican_Republic",17.4066576783146,28.2027240989274,35.8253406218259,0.787228358737375,1,1,210,NA,NA,NA,NA,63,NA,NA,NA,NA
"43","Ecuador",7.32573624098125,115.559836056612,97.5614495126129,1.18448256595114,2,2,121,225,NA,NA,NA,62,153,NA,NA,NA
"44","Egypt",3.85869279574107,49.2024285044114,40.5673178509276,1.21285880139316,1,1,170,NA,NA,NA,NA,47,NA,NA,NA,NA
"45","El_Salvador",19.7908266562502,8.45665074037623,14.2276671555182,0.594380698391326,1,1,218,NA,NA,NA,NA,80,NA,NA,NA,NA
"46","Equatorial_Guinea",0.271497894912307,15.6263632197044,15.4081056952913,1.01416511080138,3,3,142,185,216,NA,NA,76,163,201,NA,NA
"47","Estonia",6.40166951002827,2.27785840372217,2.04569423262275,1.11348918494127,1,1,94,NA,NA,NA,NA,60,NA,NA,NA,NA
"48","Eswatini",19.955141309093,2.36137059609306,2.74173209377882,0.861269633692939,1,1,227,NA,NA,NA,NA,76,NA,NA,NA,NA
"49","Ethiopia",23.9622289218484,62.930185202749,6.73716406725632,9.3407529599286,0,1,NA,NA,NA,NA,NA,75,NA,NA,NA,NA
"50","Faroe_Islands",2.30645218537343,0.970291047124306,0.677064157289423,1.43308582602983,2,2,83,224,NA,NA,NA,67,138,NA,NA,NA
"51","Finland",5.06011353304812,4.73841563434533,3.69662039786945,1.28182369958147,1,1,101,NA,NA,NA,NA,31,NA,NA,NA,NA
"52","France",22.9961725983279,220.344726035848,146.541244875154,1.50363623718067,1,1,95,NA,NA,NA,NA,26,NA,NA,NA,NA
"53","French_Polynesia",16.2366441987063,1.20470356425375,0.12065150671198,9.98498565898249,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"54","Gabon",3.29037085819783,4.90014372762943,4.77192991760977,1.02686833466403,3,3,147,172,209,NA,NA,74,160,195,NA,NA
